"NAICS_2","FTE","EventGroup","table"
"51 Information",2.23436879577099,"Lewis and Clark_MA","Indirect & Induced Impacts"
"52 Finance and Insurance",0.717123550605009,"Lewis and Clark_MA","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.86111321229962,"Lewis and Clark_MA","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.78680189164475,"Lewis and Clark_MA","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.0668750042632926,"Lewis and Clark_MA","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.71805255864765,"Lewis and Clark_MA","Indirect & Induced Impacts"
"61 Educational Services",0.127788291999501,"Lewis and Clark_MA","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.94266336802309,"Lewis and Clark_MA","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",1.23042313098745,"Lewis and Clark_MA","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.570902605203503,"Lewis and Clark_MA","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.515347292033022,"Lewis and Clark_MA","Indirect & Induced Impacts"
"9A Government Enterprises",0.0521930486573944,"Lewis and Clark_MA","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00050390106354006,"Lewis and Clark","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00028118845389693,"Lewis and Clark","All Impacts"
"22 Utilities",0.00137924124398676,"Lewis and Clark","All Impacts"
"23 Construction",0.0045481371172571,"Lewis and Clark","All Impacts"
"31-33 Manufacturing",0.00134406366581105,"Lewis and Clark","All Impacts"
"42 Wholesale Trade",0.00632618879700045,"Lewis and Clark","All Impacts"
"44-45 Retail Trade",0.0367217891549064,"Lewis and Clark","All Impacts"
"48-49 Transportation and Warehousing",0.0216526610069234,"Lewis and Clark","All Impacts"
"51 Information",0.610107596915083,"Lewis and Clark","All Impacts"
"52 Finance and Insurance",0.0384605569284127,"Lewis and Clark","All Impacts"
"53 Real Estate and Rental and Leasing",0.0458432146877759,"Lewis and Clark","All Impacts"
"54 Professional, Scientific, and Technical Services",0.0420946968737964,"Lewis and Clark","All Impacts"
"55 Management of Companies and Enterprises",0.00359250500660106,"Lewis and Clark","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0380594877745582,"Lewis and Clark","All Impacts"
"61 Educational Services",0.0068961957457958,"Lewis and Clark","All Impacts"
"62 Health Care and Social Assistance",0.0507611155723376,"Lewis and Clark","All Impacts"
